지점,지점명,일시,평균기온(°C),일강수량(mm)
590,과천,2019-01-01,-5.8,0
590,과천,2019-01-02,-6,0
590,과천,2019-01-03,-5.6,0
590,과천,2019-01-04,-3,0
590,과천,2019-01-05,-3.7,0
590,과천,2019-01-06,-4.4,0
590,과천,2019-01-07,-3.8,0
590,과천,2019-01-08,-3.9,0
590,과천,2019-01-09,-5.6,0
590,과천,2019-01-10,-1.3,0
590,과천,2019-01-11,1.3,0
590,과천,2019-01-12,1,0
590,과천,2019-01-13,-1.1,0
590,과천,2019-01-14,-.7,0
590,과천,2019-01-15,-1.7,0
590,과천,2019-01-16,-5.2,0
590,과천,2019-01-17,-1.1,0
590,과천,2019-01-18,-1.5,0
590,과천,2019-01-19,1.7,0
590,과천,2019-01-20,-1.1,0
590,과천,2019-01-21,-1.8,0
590,과천,2019-01-22,-.1,0
590,과천,2019-01-23,1.1,0
590,과천,2019-01-24,-1.8,0
590,과천,2019-01-25,-1.9,0
590,과천,2019-01-26,-3.1,0
590,과천,2019-01-27,-1.5,0
590,과천,2019-01-28,1.1,0
590,과천,2019-01-29,-1.9,0
590,과천,2019-01-30,.7,0
590,과천,2019-01-31,-1.7,0
590,과천,2019-02-01,-3,0
590,과천,2019-02-02,.7,0
590,과천,2019-02-03,3.1,21.5
590,과천,2019-02-04,-.8,0
590,과천,2019-02-05,.4,0
590,과천,2019-02-06,3.9,0
590,과천,2019-02-07,-1.6,0
590,과천,2019-02-08,-5.7,0
590,과천,2019-02-09,-5,0
590,과천,2019-02-10,-5.1,0
590,과천,2019-02-11,-3.3,0
590,과천,2019-02-12,-.7,0
590,과천,2019-02-13,-2.6,0
590,과천,2019-02-14,-1.6,0
590,과천,2019-02-15,-.9,.5
590,과천,2019-02-16,-2.1,0
590,과천,2019-02-17,-2.4,0
590,과천,2019-02-18,-.2,0
590,과천,2019-02-19,.9,4
590,과천,2019-02-20,1.3,0
590,과천,2019-02-21,.7,0
590,과천,2019-02-22,2,0
590,과천,2019-02-23,4.1,0
590,과천,2019-02-24,4.3,0
590,과천,2019-02-25,3.6,0
590,과천,2019-02-26,4.2,0
590,과천,2019-02-27,6.7,0
590,과천,2019-02-28,5,0
590,과천,2019-03-01,4.7,0
590,과천,2019-03-02,5.5,0
590,과천,2019-03-03,7.8,0
590,과천,2019-03-04,8.7,0
590,과천,2019-03-05,7.7,0
590,과천,2019-03-06,6.9,0
590,과천,2019-03-07,5.9,0
590,과천,2019-03-08,4.1,0
590,과천,2019-03-09,5.6,0
590,과천,2019-03-10,8.9,0
590,과천,2019-03-11,5.5,0
590,과천,2019-03-12,4.1,0
590,과천,2019-03-13,3.7,0
590,과천,2019-03-14,4.5,0
590,과천,2019-03-15,4.5,7
590,과천,2019-03-16,3.9,0
590,과천,2019-03-17,5,0
590,과천,2019-03-18,6,0
590,과천,2019-03-19,8.6,0
590,과천,2019-03-20,9.2,19
590,과천,2019-03-21,7.7,5
590,과천,2019-03-22,3.7,0
590,과천,2019-03-23,3,2
590,과천,2019-03-24,3.8,0
590,과천,2019-03-25,7,0
590,과천,2019-03-26,10.9,0
590,과천,2019-03-27,11.9,0
590,과천,2019-03-28,9.6,0
590,과천,2019-03-29,9.5,0
590,과천,2019-03-30,5.2,2.5
590,과천,2019-03-31,4.4,0
590,과천,2019-04-01,4.6,0
590,과천,2019-04-02,6,0
590,과천,2019-04-03,6.6,0
590,과천,2019-04-04,9,0
590,과천,2019-04-05,10.6,0
590,과천,2019-04-06,9,0
590,과천,2019-04-07,12.2,0
590,과천,2019-04-08,10.8,0
590,과천,2019-04-09,9,13
590,과천,2019-04-10,6.5,3.5
590,과천,2019-04-11,8.6,0
590,과천,2019-04-12,10.6,0
590,과천,2019-04-13,10.7,0
590,과천,2019-04-14,9.4,1
590,과천,2019-04-15,10.2,0
590,과천,2019-04-16,13.3,0
590,과천,2019-04-17,14.1,0
590,과천,2019-04-18,11.8,0
590,과천,2019-04-19,13.2,0
590,과천,2019-04-20,13.8,0
590,과천,2019-04-21,14.6,.5
590,과천,2019-04-22,18.2,0
590,과천,2019-04-23,19.3,0
590,과천,2019-04-24,18.6,8
590,과천,2019-04-25,13.2,12
590,과천,2019-04-26,8.1,2.5
590,과천,2019-04-27,11,0
590,과천,2019-04-28,,0
590,과천,2019-04-29,11.4,0
590,과천,2019-04-30,14.4,0
590,과천,2019-05-01,14.9,0
590,과천,2019-05-02,15.5,0
590,과천,2019-05-03,16.2,0
590,과천,2019-05-04,17.5,0
590,과천,2019-05-05,18.6,0
590,과천,2019-05-06,13.6,0
590,과천,2019-05-07,13.4,0
590,과천,2019-05-08,14.9,0
590,과천,2019-05-09,15.8,0
590,과천,2019-05-10,16.5,0
590,과천,2019-05-11,18.5,0
590,과천,2019-05-12,19.5,0
590,과천,2019-05-13,17,0
590,과천,2019-05-14,18.6,0
590,과천,2019-05-15,19.4,0
590,과천,2019-05-16,22.4,0
590,과천,2019-05-17,21.8,0
590,과천,2019-05-18,21.8,0
590,과천,2019-05-19,18.9,14.5
590,과천,2019-05-20,16,3
590,과천,2019-05-21,16.7,0
590,과천,2019-05-22,19.8,0
590,과천,2019-05-23,20.2,0
590,과천,2019-05-24,23,0
590,과천,2019-05-25,22.3,0
590,과천,2019-05-26,22.8,0
590,과천,2019-05-27,17.4,5
590,과천,2019-05-28,17.6,0
590,과천,2019-05-29,18.7,0
590,과천,2019-05-30,18.7,0
590,과천,2019-05-31,18.9,0
590,과천,2019-06-01,17.7,0
590,과천,2019-06-02,19.4,0
590,과천,2019-06-03,21.4,0
590,과천,2019-06-04,21.5,0
590,과천,2019-06-05,22.3,0
590,과천,2019-06-06,20.4,9.5
590,과천,2019-06-07,19.4,55
590,과천,2019-06-08,20.7,0
590,과천,2019-06-09,21.2,0
590,과천,2019-06-10,18.6,8
590,과천,2019-06-11,19.4,0
590,과천,2019-06-12,19.8,0
590,과천,2019-06-13,21.6,0
590,과천,2019-06-14,21.7,0
590,과천,2019-06-15,20.9,0
590,과천,2019-06-16,20.5,0
590,과천,2019-06-17,21,.5
